timestamp,top20elec,top20heat,top50elec,top50heat,allelec,allheat
2024-01-01T00:00:00+00:00,7543,30925,18114,78457,44192,166261
2024-01-01T01:00:00+00:00,6266,26796,18184,76269,46901,170012
2024-01-01T02:00:00+00:00,5920,27819,25070,103767,47823,187735
2024-01-01T03:00:00+00:00,6904,35888,21992,99117,52645,198663
2024-01-01T04:00:00+00:00,5467,27589,20846,91016,65049,240973
2024-01-01T05:00:00+00:00,7447,32483,22030,96027,67355,254326
2024-01-01T06:00:00+00:00,6117,31202,19304,89553,71876,285859
2024-01-01T07:00:00+00:00,7484,35766,22445,98673,69888,264041
2024-01-01T08:00:00+00:00,7087,32506,21191,93283,64262,249624
2024-01-01T09:00:00+00:00,9588,47094,23392,105846,67129,254993
2024-01-01T10:00:00+00:00,8303,39196,19744,88718,65106,252041
2024-01-01T11:00:00+00:00,8386,39955,19036,87077,60605,237961
2024-01-01T12:00:00+00:00,6725,33877,15047,71170,50859,199168
2024-01-01T13:00:00+00:00,6900,28907,15877,64435,72062,263503
2024-01-01T14:00:00+00:00,6045,30198,17448,74262,64143,236891
2024-01-01T15:00:00+00:00,6445,32455,19701,88725,66524,264715
2024-01-01T16:00:00+00:00,6939,34150,19963,89134,53537,212360
2024-01-01T17:00:00+00:00,6942,32091,21331,89956,53165,199099
2024-01-01T18:00:00+00:00,5113,25306,17569,76438,59652,231156
2024-01-01T19:00:00+00:00,6119,30901,17990,81968,55942,226924
2024-01-01T20:00:00+00:00,6201,31805,16166,79533,47743,200844
2024-01-01T21:00:00+00:00,4630,23641,15350,72368,49526,199592
2024-01-01T22:00:00+00:00,4412,24118,10189,45849,29421,116793
2024-01-01T23:00:00+00:00,3556,17523,10851,50488,28492,110815
2024-01-02T00:00:00+00:00,5980,26880,14164,63596,30688,123613
2024-01-02T01:00:00+00:00,3798,19335,12382,59647,31143,119612
2024-01-02T02:00:00+00:00,4301,22669,14848,71039,34640,145668
2024-01-02T03:00:00+00:00,5020,26808,16505,81570,36536,165525
2024-01-02T04:00:00+00:00,4288,22351,15092,70782,56326,219487
2024-01-02T05:00:00+00:00,5213,23282,15019,74317,47516,199688
2024-01-02T06:00:00+00:00,4335,19842,13659,70089,53055,229173
2024-01-02T07:00:00+00:00,8060,41835,16883,86108,51424,228255
2024-01-02T08:00:00+00:00,6304,35361,15365,82787,47799,221916
2024-01-02T09:00:00+00:00,4857,27238,12618,69494,42370,188592
2024-01-02T10:00:00+00:00,3702,19993,13818,72278,46235,203468
2024-01-02T11:00:00+00:00,4284,23847,14643,75783,44992,199984
2024-01-02T12:00:00+00:00,3580,18983,14811,75138,45880,199651
2024-01-02T13:00:00+00:00,5912,29170,15033,71285,55592,219489
2024-01-02T14:00:00+00:00,5202,26661,15022,77315,53915,226434
2024-01-02T15:00:00+00:00,6500,32725,18610,90553,53572,224721
2024-01-02T16:00:00+00:00,8720,38530,18039,89037,48788,214313
2024-01-02T17:00:00+00:00,5246,27241,17388,84697,50058,209470
2024-01-02T18:00:00+00:00,6581,33212,19776,98312,48297,205696
2024-01-02T19:00:00+00:00,6098,31026,21823,103885,52932,228432
2024-01-02T20:00:00+00:00,6486,33368,19749,93687,53078,211772
2024-01-02T21:00:00+00:00,4003,19872,17394,86122,40331,171611
2024-01-02T22:00:00+00:00,5117,27743,13499,74042,29974,137227
2024-01-02T23:00:00+00:00,3751,19244,13662,73670,29061,135622
2024-01-03T00:00:00+00:00,6950,29901,16943,85342,37956,159794
2024-01-03T01:00:00+00:00,7607,31201,22636,102504,47528,198228
2024-01-03T02:00:00+00:00,5851,30411,19115,95971,37175,165588
2024-01-03T03:00:00+00:00,4796,23915,15559,84788,44619,189591
2024-01-03T04:00:00+00:00,5545,29276,23090,107644,60810,233851
2024-01-03T05:00:00+00:00,6602,29612,21371,105673,53928,229806
2024-01-03T06:00:00+00:00,5407,22945,18565,89686,65806,265091
2024-01-03T07:00:00+00:00,6423,34191,21047,105265,62105,262029
2024-01-03T08:00:00+00:00,6049,31692,20309,98815,56330,243089
2024-01-03T09:00:00+00:00,5900,30728,19200,95058,54149,235164
2024-01-03T10:00:00+00:00,5773,29584,17979,82703,49225,207804
2024-01-03T11:00:00+00:00,6018,30045,17630,81446,50242,214655
2024-01-03T12:00:00+00:00,4263,23495,17094,76002,48603,194422
2024-01-03T13:00:00+00:00,5665,26252,16165,70945,57383,216622
2024-01-03T14:00:00+00:00,7219,38950,18719,87532,57513,228526
2024-01-03T15:00:00+00:00,6265,32396,17971,91444,60141,256670
2024-01-03T16:00:00+00:00,7563,37348,19593,96934,48357,205002
2024-01-03T17:00:00+00:00,6167,32480,22532,100468,53765,208160
2024-01-03T18:00:00+00:00,8513,41358,18450,89888,49525,213368
2024-01-03T19:00:00+00:00,6668,33960,25890,113033,58305,241762
2024-01-03T20:00:00+00:00,5760,27861,19568,89876,51721,210856
2024-01-03T21:00:00+00:00,5009,25337,12502,61550,49014,209610
2024-01-03T22:00:00+00:00,4205,20986,13769,65900,38650,150865
2024-01-03T23:00:00+00:00,3945,18901,14910,71411,25780,112902
2024-01-04T00:00:00+00:00,4767,24453,15324,75387,39185,156951
2024-01-04T01:00:00+00:00,7821,30736,18476,77831,38013,146176
2024-01-04T02:00:00+00:00,7160,31594,21196,94881,40581,164141
2024-01-04T03:00:00+00:00,7219,30115,22593,101256,47617,197499
2024-01-04T04:00:00+00:00,4915,24823,18823,85989,54510,206589
2024-01-04T05:00:00+00:00,8229,34150,21969,96515,67143,263646
2024-01-04T06:00:00+00:00,8212,36157,22036,99134,73964,287322
2024-01-04T07:00:00+00:00,8138,37100,27719,123235,76368,295472
2024-01-04T08:00:00+00:00,9009,39913,23719,104586,68946,266993
2024-01-04T09:00:00+00:00,9052,41282,22356,101325,67904,261818
2024-01-04T10:00:00+00:00,6892,29575,22618,98479,61575,244805
2024-01-04T11:00:00+00:00,4561,21680,18916,79556,54325,211023
2024-01-04T12:00:00+00:00,4585,22567,18212,82983,52388,208405
2024-01-04T13:00:00+00:00,6481,33210,22385,98728,65786,256545
2024-01-04T14:00:00+00:00,7190,35390,27631,119730,73436,293812
2024-01-04T15:00:00+00:00,8445,39934,23777,106391,66471,271526
2024-01-04T16:00:00+00:00,8051,37108,20668,95829,68804,257687
2024-01-04T17:00:00+00:00,9258,43521,28175,125188,68642,255286
2024-01-04T18:00:00+00:00,6135,27643,23756,104292,60742,232170
2024-01-04T19:00:00+00:00,6418,29353,23091,92753,70835,260406
2024-01-04T20:00:00+00:00,10582,49521,26994,119598,69354,267466
2024-01-04T21:00:00+00:00,5925,27609,19989,87569,58441,221779
2024-01-04T22:00:00+00:00,8531,32868,22103,88922,59239,217209
2024-01-04T23:00:00+00:00,7903,33186,21281,82478,39480,142569
2024-01-05T00:00:00+00:00,9307,37711,20399,82433,51367,180818
2024-01-05T01:00:00+00:00,9430,38795,30007,115009,67543,248205
2024-01-05T02:00:00+00:00,7812,32119,27215,106796,60677,218275
2024-01-05T03:00:00+00:00,9326,38192,29179,118259,70082,248808
2024-01-05T04:00:00+00:00,9606,39198,30820,118063,82100,276891
2024-01-05T05:00:00+00:00,8123,34024,25605,106062,78491,285319
2024-01-05T06:00:00+00:00,11109,46477,28340,108492,85597,308281
2024-01-05T07:00:00+00:00,9437,36097,30120,118794,76563,285101
2024-01-05T08:00:00+00:00,8456,33852,31703,131813,79612,299218
2024-01-05T09:00:00+00:00,9316,44742,33456,145392,85669,321561
2024-01-05T10:00:00+00:00,7149,34194,23950,102888,75890,282107
2024-01-05T11:00:00+00:00,5885,28820,18542,78848,60148,232536
2024-01-05T12:00:00+00:00,5592,27978,18230,83445,60524,233202
2024-01-05T13:00:00+00:00,7507,37449,23980,102529,65794,245401
